device,device_name,width,height,scope,material,motion,samples,gpu_median_ms,gpu_p95_ms,gpu_p99_ms,gpu_max_ms,first_use_gpu_median_ms,first_use_capture_median_ms,cpu_render_median_ms,cpu_completion_median_ms,warm_retries,active_owned_mib,idle_owned_mib,peak_owned_mib,cadence_reference_ms,samples_above_reference,gpu_p95_run_min_ms,gpu_p95_run_max_ms,device_sha256,summary
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),1920,1080,current output,clear_light_tinted,lens,595,0.25392,0.36060399999999987,0.3816903999999997,0.39536,0.30384,0.02104,0.221394,0.307476,0,47.54498291015625,8.4375,47.58610534667969,4.171,0,0.359144,0.36418,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/1920x1080_clear_light_tinted_lens.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),1920,1080,current output,clear_light_tinted,sweep,595,0.23472,0.359572,0.36874719999999994,0.37348,0.26756,0.0208,0.210874,0.290664,0,47.53581237792969,8.4375,47.569061279296875,4.171,0,0.359148,0.359964,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/1920x1080_clear_light_tinted_sweep.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),1920,1080,current output,clear_light_untinted,lens,595,0.16564,0.26492,0.2733208,0.28304,0.19848,0.0212,0.146685,0.211305,0,30.663558959960938,8.4375,33.22265625,4.171,0,0.257804,0.266936,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/1920x1080_clear_light_untinted_lens.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),1920,1080,current output,clear_light_untinted,sweep,595,0.15604,0.255932,0.26196079999999994,0.27228,0.18132,0.02092,0.138188,0.206126,0,30.657028198242188,8.4375,33.22265625,4.171,0,0.254412,0.257168,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/1920x1080_clear_light_untinted_sweep.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),1920,1080,current output,regular_dark_untinted,lens,595,0.18676,0.288312,0.2954935999999999,0.31188,0.2312,0.02836,0.145853,0.233808,0,27.581527709960938,8.4375,33.22265625,4.171,0,0.28113599999999994,0.290288,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/1920x1080_regular_dark_untinted_lens.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),1920,1080,current output,regular_dark_untinted,sweep,595,0.17304,0.27976,0.28981759999999995,0.29564,0.205,0.02864,0.136746,0.220282,0,27.574996948242188,8.4375,33.22265625,4.171,0,0.278892,0.280008,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/1920x1080_regular_dark_untinted_sweep.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),2560,2880,current output,clear_light_tinted,lens,595,0.5658,0.938416,0.9560319999999998,0.98176,0.79896,0.0406,0.233537,0.616694,0,160.72857666015625,28.75,160.7696990966797,16.676,0,0.926624,0.945624,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/2560x2880_clear_light_tinted_lens.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),2560,2880,current output,clear_light_tinted,sweep,595,0.5624,0.899452,0.9297472,0.9586,0.768,0.04056,0.21393,0.614951,0,160.7194061279297,28.75,160.75265502929688,16.676,0,0.8566439999999999,0.907672,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/2560x2880_clear_light_tinted_sweep.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),2560,2880,current output,clear_light_untinted,lens,595,0.44748,0.743676,0.7773695999999999,0.80364,0.53004,0.04056,0.156883,0.49726,0,103.22215270996094,28.75,114.375,16.676,0,0.731532,0.757268,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/2560x2880_clear_light_untinted_lens.summary.json
discrete,AMD Radeon RX 9070 XT (RADV GFX1201),2560,2880,current output,clear_light_untinted,sweep,595,0.42184,0.708024,0.7768343999999999,0.78632,0.50992,0.04064,0.137187,0.476833,0,103.21562194824219,28.75,114.375,16.676,0,0.64594,0.773456,24bfa725f0f5983dfda84a70a3fcfe193c9edd0e24c58ad50d2322d9095e6012,/tmp/walle-work/benchmark-final/results/discrete/2560x2880_clear_light_untinted_sweep.summary.json
